Business Name,Address,website,Phone_Number,reviews_count,reviews_average,latitude,longitude
Trav-Elite Tours · Visited link,"Block & Pocket B, 5 Plot, Number 175-176, Sector 5, Rohini, Delhi, 110085",travelitetours.in,,,4.8,28.7054722,77.0852143
Harrok Travels Pvt. Ltd · Visited link,"Shop no 107, 108 First Floor Plot No.3 Aggarwal Plaza, Sector 14, Rohini, New Delhi, Delhi 110085",,097173 49444,,4.9,28.7157492,77.1163468
Sanvi Tour & Travels · Visited link,"Shop no- 5, Prahladpur Rd, near Rithala, Sardar Patel Enclave, Rohini Extension, Metro, Delhi, 110086",sanvicabrentals.com,085954 57078,,4.8,28.7175995,77.0589125
Accurate Holiday Pvt. Ltd. · Visited link,"201, 2nd Floor, Krishna Plaza, Sector 8, Rohini, New Delhi, Delhi, 110085",accurateholiday.com,099902 95222,,4.1,28.702325,77.1053332
Karan 43/ Tour & Travels · Visited link,"Friday Market,, D-8/171, 4th Rd, Sector 6D, Rohini, Delhi, 110085",,011 2704 4343,,4.2,28.70904,77.0913116
Omatrav Holidays Pvt Ltd - Best travel agency in Delhi NCR · Visited link,"A-1/8, Third Floor, Pocket 1, Sector 7, Rohini, Delhi, 110085",omatrav.com,095990 80060,,4.9,28.70904,77.0913116
Truly India Travel · Visited link,"C7/108, Pocket 6, Sector 5, Rohini, New Delhi, Delhi, 110085",trulyindiatravel.com,099101 27111,,4.9,28.70904,77.0913116
CYBERJET TOUR & TRAVEL · Visited link,"22/210, Shop No, POCKET G, 1, Sector 7, Rohini, Delhi, 110085",,093131 42337,,4.6,28.70904,77.0913116
Malik Travel Service · Visited link,"B-6/84, Sector 5, Rohini, Delhi, 110085",findglocal.com,099111 44889,,4.1,28.70904,77.0913116
SOTC For Holidays · Visited link,"No 115, 1st Flr, Ring Road Mall Deepali Chowk, Pitampura, Rohini, Sector 3, New Delhi, Delhi 110085",stores.sotc.in,096199 24883,,4.8,28.70904,77.0913116
V.S. Tours & Travels · Visited link,"114-E, Ground Floor, Naharpur, Sector 7, Rohini, Delhi 110085",,095999 95222,,4.8,28.70904,77.0913116
GOPAL TOUR & TRAVELS AGENCY · Visited link,"OFFICE, ROHINI SECTOR 5, C3/92, Delhi, 110085",,072920 00086,,5.0,28.70904,77.0913116
Jetway Travels | Air Ticket Agents | Cheap Flight Tickets · Visited link,"56, Shiva Rd, Pocket 2, Sector 6B, Rohini, Delhi, 110085",jetwaytravels.in,099113 96942,,4.9,28.70904,77.0913116
Shree Giriraj Ji Tours And Travels · Visited link,"C-63, Vijay Vihar,Phase-2, Rohini, Delhi, 110085",,092139 11314,,4.9,28.7076497,77.0772671
Lavit Tours & Travels · Visited link,"B-894, Avantika, Sector 1, Rohini, Delhi, 110085",facebook.com,,,5.0,28.7076497,77.0772671
Riddhi Tour & Travels · Visited link,"D-13/189, Sector 7, Rohini, Delhi, 110085",,098117 29502,,3.7,28.7054589,77.0981689
Tour Delight · Visited link,"201, Rohini Sector 9, Sector 9, Dc Chowk, New Delhi, Delhi, 110085",,,,4.7,28.7179616,77.107614
Tour & Travels · Visited link,,,088266 05980,,5.0,21.0680074,82.734505
Thomas Cook · Visited link,"G24, Ring Road Mall, Sector 3, Rohini, New Delhi, Delhi, 110085",stores.thomascook.in,082912 83717,,4.6,28.6982775,77.0979825
TRIP CAFE TRAVEL · Visited link,"AGGARWAL E MALL, G 39, Sector 7, Rohini, Delhi, 110085",,099990 19922,,5.0,28.6982775,77.0979825
Globalized Yatra Pvt Ltd · Visited link,"DDA CSC Market 9, Behind Ayappa Temple, Rohini, near bank of Baroda, Sector 7, Rohini, New Delhi, Delhi 110085",globalizedyatra.com,097183 87249,,4.8,28.6982775,77.0979825
Ms Tour And travels · Visited link,"D7/222, Sector 6 Rd, Pocket 7, Sector 6D, Rohini, New Delhi, Delhi, 110085",mstourandtravels.com,098111 42469,,5.0,28.7095573,77.0882587
Jagdamba Travels · Visited link,"Shop No. 4, D-10/28, Shiva Rd, Pocket 10, Sector-8, Rohini, Delhi, 110085",,099900 40391,,4.5,28.7042735,77.1070489
Guru kripa travel · Visited link,"G30/151,Yuva Shakti School Road, Sector 3, Rohini, New Delhi, Delhi 110085",,098999 30340,,4.7,28.7053855,77.0887052
AISH TOUR AND TRAVEL · Visited link,"Address: HOUSE NO 244 BLK-H PKT, LANDMARK, 17, 110085, opp. METRO PILLAR 421, Pocket 17, Sector 7, Rohini, Delhi, 110085",aishtourandtravel.com,095555 81382,,3.0,28.7125168,77.09848
Tempo Traveller hire in Delhi · Visited link,"B8 DDA, Pocket B9, Sector 3, Sector 3B, Rohini, Delhi, 110085",progressive-tours.blogspot.com,099103 56882,,4.8,28.7125168,77.09848
DIT Holidays · Visited link,"141, Pocket, 2, Pocket 1, Sector 22, Rohini, Delhi, 110086",ditholidays.com,085950 01404,,4.8,28.7156284,77.0422393
Fly A Way Travels · Visited link,"117 POCKET, 116, 8, Sector 5, Rohini, Delhi, 110085",flyawaytravel.in,,,4.9,28.7196185,77.0808969
Mathura Vrindavan Tour Packages · Visited link,"107 First Floor, Plot No. 1, Aggarwal Chamber, near Indian Petrol Pump, Sector 5, Rohini, New Delhi, Delhi, 110085",mathuravrindavantourpackages.com,097171 89480,,4.9,28.7196185,77.0808969
Incredible India Holidays · Visited link,"City Center Mall, Swarn Jayanti Park, Sector 10, Rohini, New Delhi, Delhi, 110085",,083779 82646,,4.7,28.7210643,77.0974124
Indian Trip Maker · Visited link,"House no.122, Rithala, Rohini, Delhi, 110085",indiantripmaker.com,,,5.0,28.7200694,77.0820761
Besten Tours · Visited link,"First Floor, Plot No-292, near Lala Ji Chaat, Pocket 8, Sector-24, Rohini, Delhi, 110085",bestentours.com,070115 16551,,4.7,28.7296338,77.0684479
"Delhi Tourist Taxi : Taxi service in rohini, cab service, outstation taxi service, taxiservice, Outstation Cab · Visited link","Shop No 8, First Floor, CSC-1, DDA Market, G-23, Sector 7, Rohini, New Delhi, Delhi, 110085",delhitouristtaxi.in,098111 95398,,4.6,28.7084287,77.095361
Travel Babaji India - Volvo Bus Rental - Car Rental Delhi · Visited link,"373, Pocket 4, Sector 3, rohini, New Delhi, Delhi, 110085",travelbabaji.co.in,083685 24594,,4.7,28.7084287,77.095361
Shree Shyam Tour and Travels · Visited link,"Shop No 8-9, Garg Plaza, Sector 8, Rohini, Delhi, 110085",,,,,28.7028536,77.1051663
Prnaam Travels · Visited link,"D-2 block,172/173,4th floor, sector-11, Rohini, pincode-110085, Rohini, Delhi, 110085",instagram.com,096432 84857,,4.9,28.7288238,77.0890664
Jain Property (Tour & travel ) · Visited link,"C-2/33, Som Bazar Rd, near New Lucky Fruit Juice, Pocket 2, Sector 5, Rohini, New Delhi, Delhi, 110085",,096441 15560,,5.0,28.7288238,77.0890664
Travel Machine · Visited link,"East Metro Station, B-6/116, near Rohini, C Block, Sector 8B, Sector 8, Rohini, New Delhi, Delhi, 110085",facebook.com,099999 39383,,4.2,28.7034209,77.1078612
Youth Holidays · Visited link,"B-1115, Shop No. 1, Sector 1, Avantika, Rohini, Delhi, 110085",youthholidays.co.in,099714 53338,,5.0,28.7030397,77.0816432
Travel Birds · Visited link,"104, Aggarwal Plaza, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi, 110085",,093124 15319,,5.0,28.7112672,77.1146725
Ishita Tour And Travels - Hire Tempo Traveller In Delhi & Cheapest Outstation Taxi Service · Visited link,"Shop No. 15, Pocket 18, Sector-24, Rohini, Delhi, New Delhi, Delhi 110086",ishitatourandtravels.com,096501 80722,,4.6,28.7236199,77.0776944
K.K. Tour & Travels · Visited link,"293, Phase 1, Pocket B, Sector 5, Rohini, Delhi, 110085",,093124 56784,,3.5,28.716984,77.0897556
RAMA KRISHNA TOUR & TRAVELS · Visited link,,,088020 61271,,4.5,21.0680074,82.734505
Anytime Tour & Travel · Visited link,"B-32, opp. Rohini Sector-22, near Radhey Krishna Makert, Pocket 5, Sector 22, Rohini, Delhi, 110085",,,,,28.7176439,77.0462471
Nirmal Tour & Travels · Visited link,"6/1, opp. Metro Pillar No-528, Double Story, Prem Nagar, Tilak Nagar, New Delhi, Delhi, 110058",,098992 28880,,3.9,28.6352175,77.0747975
Unique TripMart - Best Travel Agecy in Delhi · Visited link,"2ND FLOOR, PLOT NO-99, nr. BATRA PROPERTIES, Pocket 9, Sector 25, Rohini, Delhi, 110085",uniquetripmart.com,098992 79636,,4.5,28.7366349,77.0709997
Narbada Travels · Visited link,"D-14/187, Pocket 14, Sector 7, Rohini, Delhi, 110085",,098100 19818,,3.3,28.7117534,77.1015634
BOBBY TOUR & TRAVELS · Visited link,"A-4/33 SECTOR-20 ROHINI, North West, Delhi, 110086",,063971 80705,,,28.7085549,77.0545293
Holidays Online India Pvt.ltd · Visited link,"D-7/289 2nd floor, Sector 6 Rd, near vishram chowk, Pocket 33, Sector 3H, Rohini, Delhi, 110085",holidaysonlineindia.com,011 3561 7743,,4.1,28.7095845,77.0878383
Integrity Tour 'n' Travel · Visited link,"3rd Floor, C 9/11, opp. Pillar 397, Sector 7, Rohini, Delhi, 110085",,099902 06162,,,28.7089329,77.1056114
Lakshmi Tour · Visited link,"C, 1/33, Som Bazar Rd, near by Rajiv Gandhi Cancer Hospital, Pocket 1, Sector 5, Rohini, Delhi, 110085",,098106 40728,,3.0,28.7168132,77.0892652
Goldentriangleindiatourism · Visited link,"Pocket G20,, G, 20/222, Sector 6/7 Dividing Rd, Pocket 20, Sector 7G, Rohini, Delhi, 110085",goldentriangleindiatourism.in,098112 75279,,5.0,28.7168132,77.0892652
Dream My Tour - best tempo traveller hire in delhi · Visited link,,dreammytour.com,094169 17533,,5.0,28.6816329,77.1547
Shivin Tour And Travels · Visited link,"138,139 3rd floor, Pocket 18, Sector-24, Rohini, Delhi, 110085",,,,5.0,28.7245281,77.0780808
Singhpuria TOUR &Travel's · Visited link,"D-87, Prahlad Vihar, Sector 25, Rohini, Delhi, 110085",,,,5.0,28.7396855,77.0705827
TravelsYug Travel Agency · Visited link,"1, LAL KUAN, Mehrauli - Badarpur Rd, Pocket 5, Sector 22, Begum Pur, New Delhi, Delhi, 110044",,096256 24780,,4.6,28.7191889,77.0438299
Khatu shyam tour and travels · Visited link,"Shop no 2, near rose convent school, Rohini Extension Sector 20, Rohini Extension, Rohini, Delhi, 110086",,,,1.8,28.7162553,77.0556175
Akshit tour travels outstation 12 per km · Visited link,"House no 104, Pocket 4, Sector 21, Rohini, Delhi, 110086",facebook.com,,,,28.7162553,77.0556175
ANMOL TRAVELS INDIA · Visited link,"Pocket 10, Sector 5B, Rohini, Delhi, 110085",,,,,28.7153586,77.0907892
friends tours and travels · Visited link,"c-1/7, Pocket 1, Sector 16C, Rohini, Delhi, 110089",,098915 88158,,4.6,28.739732,77.1121146
Malik Tours Travels · Visited link,"house no 54, Sector 16, Block F, Sector 16F, Rohini, Delhi, 110089",,,,5.0,28.7346123,77.1025158
Thomas Cook · Visited link,"105, 1st Floor, D Mall, near Haldiram, Netaji Subhash Place, Pitampura, New Delhi, Delhi 110034",stores.thomascook.in,082914 58224,,4.8,28.6928699,77.1346095
Global Destination Management · Visited link,"115, 1st Floor, R.G. Complex-2, Sector-14, Near PVR Cinemas, Prashant Vihar, Rohini, New Delhi, Delhi 110085",globaldestination.in,011 4759 0591,,4.4,28.715316,77.1171416
India Incredible · Visited link,"97-98, Pocket-15, Sector-22, Rohini, New Delhi, Delhi 110085",indiaincredible.co.in,095010 10147,,2.8,28.7148929,77.0422538
Penina Experiences · Visited link,,akkshayjain1995.wixsite.com,072177 05409,,4.9,21.0680074,82.734505
Friends Holidays · Visited link,"H-1/196, Ground Floor, Sector 11, Rohini, New Delhi, Delhi 110085",friendsholidays.co.in,098995 06073,,4.9,28.7349947,77.0930065
Seventh Heaven Tour & Travels Railway Irctc Authorized Train Ticket Booking Agent & Cheapest Flight Ticket Agent In Delhi · Visited link,"Hanumangarh, Pocket 25, Sector-24, Rohini, Delhi, 110085",seventhheaventour.com,086830 04026,,5.0,28.7297433,77.0725392
Murugan Travels · Visited link,"Block F, Ground Floor, Plot no - 8, Pocket 3, Sector 16, Rohini, Delhi, 110089",,098688 71525,,4.9,28.737475,77.103789
SHREE TOUR AND TRAVELS · Visited link,"B-7, 137, Sector 3, Sector 3B, Rohini, Delhi, 110085",,,,,28.7011763,77.0908077
Pigeon Holidays Rohini Dc Chowk · Visited link,"Amba Tower, 416, Dc Chowk, Rajapur, Sector 9, Rohini, Delhi, 110085",,088824 86475,,5.0,28.7187288,77.1069559
Goodwill Holidays - Best Travel Agency in Delhi | Best Travel Agency in Rohini · Visited link,"C-3/15, Ground Floor, near Manav Chowk, Sector 15, Pocket 1, Sector 15C, Rohini, New Delhi, Delhi, 110089",goodwillholidays.in,085274 35402,,4.4,28.7322766,77.1164277
Tripmetoday · Visited link,"G 3 / 39, Pocket 3, Sector 16, Rohini, Delhi, 110089",tripmetoday.com,093105 64118,,5.0,28.7322766,77.1164277
HARIDWAR RISHIKESH TOUR · Visited link,"B2/262, First Floor, Sec- 6, Rohini, new Delhi, Delhi 110085",,011 4709 4166,,4.5,28.7153524,77.0907833
Miles & Smiles Tour & Travels · Visited link,"Pocket 5, Sector-24, Rohini, Delhi, 110085",mileswithsmile.com,,,5.0,28.7265286,77.0647148
Sai Tour And Travels · Visited link,"f4, 112, Block F, Sector 16F, Rohini, New Delhi, Delhi, 110089",,090500 04861,,3.7,28.7356423,77.1044092
Rohit tour travels · Visited link,"Sector 5C, Rohini, Delhi, 110085",,097163 58773,,,28.7125456,77.0859913
CP Tour & Travels · Visited link,"Shop No. 102, Best Mega Mall, Pocket 19, Sector-24, Rohini, Delhi, 110085",,098111 57686,,5.0,28.725644,77.0776296
Farepayer Pvt Ltd · Visited link,"C9/5 First Floor, above Raymond showroom near Near Janakpuri west metro station, exit from Gate.1, near New Krishna Park, Vikaspuri, Delhi, 110018",farepayer.com,081304 89304,,4.6,28.6295401,77.0581645
One Stop Travel Solutions · Visited link,"140, Pocket 1, Sector 25, Rohini, Delhi, 110085",,099992 75200,,4.9,28.7314536,77.0769153
Esme tour · Visited link,"shop no. 52, Hanumangarh, Pocket 25, Sector-24, Rohini, New Delhi, Delhi, 110085",esmetour.com,098215 12269,,5.0,28.7314536,77.0769153
Ronak Tours & Travels · Visited link,"Flat No 26 Shop No 4 Ground Floor Rohini Sec18, near Dr Lal Path Lab, Delhi 110085",,,,3.8,28.7382526,77.1183529
Sonu Tour & Travels · Visited link,"P4QJ+W34, Pocket 1, Sector 16C, Rohini, Delhi, 110089",,,,5.0,28.7382526,77.1183529
Sandhu Tour Travel · Visited link,"gram sabha, Plot no. 59, Pooth Kalan, Rohini, Delhi, 110086",,,,,28.7020113,77.060856
Meenakshi tour & trevels · Visited link,"10-B shiv vihar near, Shahbad Dairy, Sector 27, Rohini, Delhi, 110043",,,,4.8,28.746322,77.0807328
Glacier Holidays Pvt. Ltd. · Visited link,"1st Floor, RZ-9, Palam Vihar Rd, behind Jm International School, Sector 6 Dwarka, Dwarka, Delhi, 110075",glacierholidays.com,099531 63920,,4.9,28.5952977,77.0501799
Mr Shethi Tour And Travels · Visited link,"F-5/260, Sector 16 Man Mangal Bazar Road, Rohini Delhi, New Delhi, Delhi 110089",,098731 71407,,5.0,28.7355546,77.1050508
Maa sarund tour and travels · Visited link,"M, 45, Gali Number 10, Rajiv Nagar Extension, Sector 37, Rohini, New Delhi, Delhi, 110086",,,,4.7,28.7399301,77.043461
Thomas Cook · Visited link,"No 21, 1st Floor, Central Market, Near Macdonald, West, Punjabi Bagh, New Delhi, Delhi 110026",stores.thomascook.in,082912 26157,,4.7,28.6705389,77.114767
"Wind Horse India Tours - Best Bhutan Tour Packages, Travel in Bhutan, Best Bhutan Tours, Bhutan Vacation · Visited link","36, First Floor, B-3, Sector 16, Rohini, New Delhi, Delhi, 110089",windhorsetours.com,011 2729 4057,,4.5,28.7392634,77.1121411
Deepanshu Tour Travels · Visited link,"CSC-6, Shop No-25, F-7, D.D.A Market, Giani Gurumukhi Musaphir Marg, Sector 16, Rohini, Delhi, 110085",,098913 55735,,3.7,28.735054,77.1015996
TourTravelWorld · Visited link,"33 & 33A, Rama Road, Industrial Area, Near Kirti Nagar Metro Station, New Delhi, Delhi 110015",tourtravelworld.com,,,3.4,28.6601651,77.133588
Rakesh Day Tours · Visited link,"Plot No. 176, Pocket, 10, Sector-24, Rohini, New Delhi, Delhi 110085",,096541 73504,,4.8,28.7307025,77.0685755
India My Travel · Visited link,"H 6 /G /11, AGGARWAL MILLENIUM TOWER, Netaji Subhash Place, Pitampura, Delhi, 110034",indiamytravel.com,097173 58692,,5.0,28.693637,77.1318493
J S TOMAR TOUR AND TRAVELS · Visited link,"near hanuman chowk, Block B, Rajiv Nagar Extension, Sector 37, Rohini, Delhi, 110086",,087500 02544,,5.0,28.7369655,77.0474557
Krishna Tour & Travel · Visited link,"G-9/97, Pocket 6, Sector 16, Rohini, New Delhi, Delhi, 110085",,099991 06588,,4.0,28.7375271,77.1005712
SilverSky Tours and Travel Private Limited · Visited link,,uniglobesilversky.in,070658 87755,,4.5,21.0680074,82.734505
G R TOUR N TRAVEL · Visited link,"18, Pocket 4, Sector 16, Rohini, Delhi, 110089",,098733 84179,,4.2,28.7399617,77.105863
Born Ghumakkad · Visited link,"H. No. 37, Pocket, 22, Vinoba Kunj, Pocket 23, Sector-24, Rohini, New Delhi, Delhi, 110085",instagram.com,087663 73460,,4.7,28.7274257,77.0763199
Ayush tour and travel · Visited link,"Rohini sector: 38 , Sukhbir nagar , Karala, New Delhi, New, Delhi, 110081",,092681 53761,,3.7,28.7316003,77.0283418
GLANZ Travels Private Limited · Visited link,"C2/163, Block C-2, Pocket 2, Sector 16C, Rohini, Delhi, 110089",glanztravels.com,093103 63962,,4.9,28.7404497,77.1103041
𝐄𝐧𝐝𝐅𝐚𝐫𝐞 - 𝐓𝐨𝐮𝐫 & 𝐓𝐫𝐚𝐯𝐞𝐥s 𝐚𝐠𝐞𝐧𝐜𝐲 · Visited link,"ROHINI, P-4, Sector 34, BAWANA, Delhi, 110039",endfare.com,096547 42889,,4.9,28.7668718,77.0582011
